"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YCMHLDFQ","book","1969","Raser, John R.","Simulation and society: An exploration of scientific gaming","","","","","https://eric.ed.gov/?id=ED043220","In this volume the author provides a definition of the technique of simulation in order to examine the relevance of this technique for research in the social sciences. He looks into the philosophical and epistemological bases of simulation, examines its intellectual roots, and illustrates its use in a variety of disciplines--economics, political science, sociology, education, psychology, anthropology, and law. He shows how the technique may be used as an aid to theory building; and how it has been applied to training, teaching, and experimental research. He discusses a means of assessing the validity of simulations and demonstrates the interrelated qualities of usefulness and validity. A bibliography and a subject index are provided.","1969","2025-04-16 04:24:32","2025-10-23 05:22:10","","","","","","","","","","","","","Allyn and Bacon","","","","","","","","","","","/Users/falk/Zotero/storage/DNRXXP2N/Raser - 1969 - Simulation and society; an exploration of scientific gaming.pdf","","Discipline: Interdisciplinary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94D5H26J","journalArticle","1966","Macrae, Duncan","Cluster Analysis of Congressional Votes With the Bc Try System","Western Political Quarterly","","0043-4078","10.1177/106591296601900402","https://journals.sagepub.com/doi/10.1177/106591296601900402","Roll-call votes have attracted increasing interest as sources of information about issues in the legislative process. The availability of computer programs for data processing has made it possible to search for salient issues by examining all the roll-call votes in a given Congress, rather than limiting analysis to pre-selected subsets of votes reflecting the judgment of the investigator. One particularly promising set of computer programs for this purpose is the BC TRY system, designed by R. C. Tryon. The purpose of the present paper is to illustrate the applicability of this system to roll-call analysis.  Various procedures of multivariate analysis are applicable to the identification of legislative issues from roll calls. These include Guttman scaling, factor analysis, and cluster analysis. Computer programs are available for these procedures and several versions of them can be performed by particular programs in the BC TRY system. We select for presentation the procedure of non-communality cluster analysis, which is not widely available outside the BC TRY system, and which also has the advantage of making fewer assumptions about communalities than other methods. In addition we present the spherical analysis (SPAN) diagram, which can be computed for any three-dimensional factor space identified by the system. To illustrate these features, we shall use the votes of the Republican members of the U.S. House of Representatives in the 84th Congress (1955-56).","1966-12","2025-04-16 05:11:10","2025-10-23 01:21:08","2025-04-16 05:11:10","631-638","","4","19","","Western Political Quarterly","","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/8GAQLH6S/Macrae - 1966 - Cluster Analysis of Congressional Votes With the B.pdf","","Discipline: Political Science; Computer: IBM 1401; Program: BC TRY system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73N3KPFK","journalArticle","1965","Gullahorn, John; Gullahorn, Jeanne","A Computer Experiment in Elementary Social Behavior","IEEE Transactions on Systems Science and Cybernetics","","0536-1567","10.1109/TSSC.1965.300060","http://ieeexplore.ieee.org/document/4082049/","","1965","2025-04-16 05:16:26","2025-10-22 23:27:58","2025-04-16 05:16:26","45-51","","1","1","","IEEE Trans. Syst. Sci. Cyber.","","","","","","","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/2A64V3BC/Gullahorn and Gullahorn - 1965 - A Computer Experiment in Elementary Social Behavio.pdf","","Discipline: Sociology; Program: Homunculus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQZ5RRRZ","journalArticle","1963","Gullahorn, John T.; Gullahorn, Jeanne E.","A computer model of elementary social behavior","Behavioral Science","","00057940, 10991743","10.1002/bs.3830080410","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830080410","","1963","2025-04-16 05:37:03","2025-10-22 23:27:48","2025-04-16 05:37:03","354-362","","4","8","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/JXSMW7GN/Gullahorn and Gullahorn - 2007 - A computer model of elementary social behavior.pdf","","Discipline: Sociology; Program: Homunculus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MG4N7ZJE","conferencePaper","1964","Gullahorn, John T.; Gullahorn, Jeanne E.","Computer simulation of human interaction in small groups","Proceedings of the April 21-23, 1964, spring joint computer conference on XX - AFIPS '64 (Spring)","","","10.1145/1464122.1464132","http://portal.acm.org/citation.cfm?doid=1464122.1464132","The modern digital computer has made major contributions to sociology in at least two general areas. Because of the computer's high speed and its ability to handle effectively the interrelationships among many and complex variables, we are enabled to perform more sophisticated analyses of data already gathered. For the first time it is possible to deal statistically with social systems as systems. Potentially of even greater benefit is the second contribution---the use of computers to generate data for the purposes of theory testing and development.","1964","2025-04-16 05:54:37","2025-10-16 10:04:42","2025-04-16 05:54:37","103","","","","","","","","","","","ACM Press","Washington, D.C.","en","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/Q9A54BZW/Gullahorn and Gullahorn - 1964 - Computer simulation of human interaction in small .pdf","","Discipline: Sociology; Program: Homunculus; Programming Language: IPL-V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the April 21-23, 1964, spring joint computer conference","","","","","","","","","","","","","","",""
"ZENBZ8W4","journalArticle","1965","Gullahorn, John T.; Gullahorn, Jeanne E.","Small Groups","SIMULATION","","0037-5497, 1741-3133","10.1177/003754976500400115","https://journals.sagepub.com/doi/10.1177/003754976500400115","","1965-01","2025-04-16 05:57:21","2025-10-22 23:28:25","2025-04-16 05:57:21","51-61","","1","4","","SIMULATION","","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/KYIHRZCV/Gullahorn and Gullahorn - 1965 - Small Groups.pdf","","Discipline: Sociology; Program: Homunculus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HMA7AM2R","journalArticle","1961","Rome, Sydney C.; Rome, Beatrice K.","The leviathan technique for large-group analysis","Behavioral Science","","00057940, 10991743","10.1002/bs.3830060207","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830060207","","1961","2025-04-16 06:18:01","2025-04-16 06:19:33","2025-04-16 06:18:01","148-152","","2","6","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/GD2YC997/Rome and Rome - 2007 - The leviathan technique for large-group analysis.pdf","","Discipline: Sociology; Computer: IBM 709","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QI58TYLQ","journalArticle","1965","Gullahorn, John T.; Gullahorn, Jeanne E.","Some Computer Applications in Social Science","American Sociological Review","","00031224","10.2307/2090716","http://www.jstor.org/stable/2090716?origin=crossref","The general symbol manipulating capacities of the modern digital computer offer a valuable tool for theory development and verification. Diverse applications of computer models in social science are discussed, along with a validation study involving HOMUNCULUS, a computer model of social behavior. Hypotheses concerning decision making in a role-conflict dilemma were stated operationally as computer routines compatible with HOMUNCULUS. In computer runs using input data from actual questionnaires, alternative formulations regarding role conflict resolution were tested. Since the data generated by each run represented the logical consequences of the hypotheses operating in that run, it was possible to assess the adequacy of each programmed formulation by comparing the simulated responses with the actual decisions of living respondents. Such flexibility and dynamic capacity are major benefits accruing from testing a social theory through computer simulation.","1965-06","2025-04-16 06:36:42","2025-10-22 23:35:21","2025-04-16 06:36:42","353","","3","30","","American Sociological Review","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/I8VT4FB2/Gullahorn and Gullahorn - 1965 - Some Computer Applications in Social Science.pdf","","Discipline: Sociology; Discipline: Behavioural science; Program: Homunculus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YP6HCYY3","book","1963","Green, Bert. F., Jr","Digital Computers in Research: An Introduction for Behavioral and Social Scientists","","","","","","","1963","2025-04-16 06:48:43","2025-07-02 23:17:04","","","","","","","","","","","","","McGraw-Hill Book Company","","","","","","","","","","","/Users/falk/Zotero/storage/CH362TZF/Green - 1963 - Digital Computers in Research An Introduction for.pdf","","PDF: Image rather than text; Discipline: Behavioural science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76Y7AT6L","journalArticle","1968","Shapiro, Michael J.","The House and the Federal Role: A Computer Simulation of Roll-Call Voting","American Political Science Review","","0003-0554, 1537-5943","10.2307/1952944","https://www.cambridge.org/core/product/identifier/S0003055400202827/type/journal_article","Much of the business of the U.S. Congress in the post war period has involved issues concerning the size and scope of activities of the federal government. The legislation in this area can be traced, for the most part, to measures which originated during the period of the New Deal in response to the Great Depression and to measures enacted during World War II to meet the short-run exigencies attendant to rapid economic and social mobilization. From the point of view of the expansion of the federal role, the Eisenhower years are of some moment. While they marked a lull in the expansionist trend witnessed under the Democratic presidencies of Roosevelt and Truman, their significance lies in the fact that despite the change in adminsitrations, there was no reversal of the policies begun during the Roosevelt years. While most of the Republican legislators were on record in opposition to the expansion of the federal role, the failure of the Republican Party to introduce and enact legislation to reverse the trend of federal expansion resulted in a new plateau of federal activity from which the congressional dialogue was to proceed during the Kennedy and Johnson Administrations.                            While the 87th Congress, meeting during Kennedy's first two years in the White House, did not enact the quantity of legislation expanding the federal role that Kennedy had called for in his inaugural, In the 88th Congress both parties supported a larger federal role to a greater extent than they had previously. In fact the first sessions of the 88th Congress as it bears on the federal role has been summed up as follows: “At no time did the majority of both parties reject a larger federal role.” (               Congressional Quarterly Almanac               , 1963, p. 724) With two exceptions, the statement holds true for the second session in 1964.","1968-06","2025-04-16 06:58:49","2025-04-16 06:59:25","2025-04-16 06:58:49","494-517","","2","62","","Am Polit Sci Rev","The House and the Federal Role","","","","","","","en","https://www.cambridge.org/core/terms","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/XIEZHBKT/Shapiro - 1968 - The House and the Federal Role A Computer Simulat.pdf","","Discipline: Political Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
